0,1,2
4.2071808588506835e-98,1.0,0.0
6.955167978184043e-16,0.0,1.0
8.112408160072195e-16,0.0,1.0
2.5350267955317332e-21,0.0,1.0
8.139598365460795e-21,1.0,0.0
8.972532761777184e-15,0.0,0.9999999999999911
4.556045243812772e-16,0.0,1.0
1.0617622986551955e-18,1.0,0.0
4.466178804913161e-182,1.0,0.0
2.094319226190178e-14,0.0,0.9999999999999787
4.2425507985413937e-23,0.0,1.0
2.5816240270995484e-26,0.0,1.0
2.5885453767613028e-33,1.0,0.0
2.5340409439297086e-19,1.0,0.0
3.0484566305415297e-28,0.0,1.0
6.703745212937676e-24,0.0,1.0
2.252221057932696e-15,0.0,0.9999999999999964
5.7622494550445475e-52,0.0,1.0
0.9999038123791145,9.618762088547558e-05,0.0
5.256355187684752e-14,0.0,0.9999999999999467
5.188026403735941e-16,0.0,1.0
0.0,1.0,0.0
2.324816012747262e-24,0.0,1.0
3.633805109515237e-15,0.0,0.9999999999999964
7.234485400905323e-07,0.0,0.9999992765514595
1.0,0.0,5.345608811730936e-90
1.9047994147916966e-43,0.0,1.0
2.521510583519239e-22,0.0,1.0
1.4065744178503729e-19,0.0,1.0
1.0,0.0,2.526978680867034e-29
7.101813778816453e-15,0.9999999999999929,0.0
1.4368402377241506e-31,1.0,0.0
6.428257375340576e-114,1.0,0.0
4.573314636113495e-33,0.0,1.0
1.084694694088693e-118,1.0,0.0
0.0,1.0,0.0
1.0203451851760748e-28,0.0,1.0
1.5095164387064534e-12,0.0,0.9999999999984901
2.752770473416667e-18,0.0,1.0
2.3325597079325337e-18,1.0,0.0
2.2593237454800424e-131,1.0,0.0
0.9999187570387316,0.0,8.124296126852334e-05
9.441092203716981e-150,1.0,0.0
7.309305518165998e-11,0.0,0.9999999999269065
3.030621005377884e-13,0.9999999999996962,0.0
3.330533035657765e-22,1.0,0.0
8.066777574017604e-35,0.0,1.0
7.30317635376274e-136,1.0,0.0
5.0921000159126516e-24,1.0,0.0
1.1791277451936724e-28,0.0,1.0
4.384377183634469e-17,0.0,1.0
7.85766312168461e-62,1.0,0.0
5.215209903537679e-14,0.0,0.9999999999999478
3.520570856262596e-23,0.0,1.0
7.323191127437792e-26,1.0,0.0
9.242388003361061e-18,0.0,1.0
4.5242186163369055e-17,0.0,1.0
8.802387391814095e-22,0.0,1.0
2.800608588545249e-20,0.0,1.0
0.9999999595557599,4.0444240306164226e-08,0.0
0.9997902751888147,0.0,0.0002097248111852888
4.711309377705828e-19,0.0,1.0
1.0871802969515571e-16,0.0,1.0
2.616379248432493e-75,0.0,1.0
1.0,0.0,2.2487292324557853e-17
1.0,0.0,0.0
1.740499435994915e-16,0.0,1.0
6.818359555584584e-27,0.0,1.0
2.0872387122613483e-14,0.0,0.9999999999999787
6.718119896247164e-32,1.0,0.0
1.0935554779743276e-66,0.0,1.0
2.274189602035599e-19,0.0,1.0
8.020907714314634e-34,0.0,1.0
7.956933256900561e-48,0.0,1.0
1.1153039266296875e-177,1.0,0.0
8.519098084064997e-266,1.0,0.0
6.355939472401659e-23,0.0,1.0
